,state,sat_18_part,sat_18_rw,sat_18_math,sat_18_total,act_18_part,act_18_comp,act_18_el,act_18_math,act_18_read,act_18_sci
0,Alabama,0.06,595,571,1166,1.0,19.1,18.9,18.3,19.6,19.0
1,Alaska,0.43,562,544,1106,0.33,20.8,19.8,20.6,21.6,20.7
2,Arizona,0.29,577,572,1149,0.66,19.2,18.2,19.4,19.5,19.2
3,Arkansas,0.05,592,576,1169,1.0,19.4,19.1,18.9,19.7,19.4
4,California,0.6,540,536,1076,0.27,22.7,22.5,22.5,23.0,22.1
5,Colorado,1.0,519,506,1025,0.3,23.9,23.9,23.2,24.4,23.5
6,Connecticut,1.0,535,519,1053,0.26,25.6,26.0,24.8,26.1,24.9
7,Delaware,1.0,505,492,998,0.17,23.2,23.7,23.1,24.5,23.4
8,District of Columbia,0.92,497,480,977,0.32,23.6,23.7,22.7,24.4,23.0
9,Florida,0.56,550,549,1099,0.66,19.9,19.2,19.3,21.1,19.5
10,Georgia,0.7,542,522,1064,0.53,21.4,20.9,20.7,21.2,21.4
11,Hawaii,0.56,480,530,1010,0.89,18.9,18.2,19.0,19.1,19.0
12,Idaho,1.0,508,493,1001,0.36,22.3,21.9,21.6,23.2,22.1
13,Illinois,0.99,513,506,1019,0.43,23.9,24.1,23.4,24.2,23.4
14,Indiana,0.63,542,532,1074,0.32,22.5,21.9,22.3,23.1,22.2
15,Iowa,0.03,634,631,1265,0.68,21.8,21.0,21.2,22.5,22.0
16,Kansas,0.04,633,631,1265,0.71,21.6,21.0,21.1,22.3,21.5
17,Kentucky,0.04,630,618,1248,1.0,20.2,19.9,19.7,20.8,20.1
18,Louisiana,0.04,615,595,1210,1.0,19.2,19.0,18.5,19.6,19.1
19,Maine,0.99,512,501,1013,0.07,24.0,23.8,23.6,24.7,23.4
20,Maryland,0.76,545,535,1080,0.31,22.5,22.1,22.0,23.1,22.2
21,Massachusetts,0.8,562,563,1125,0.25,25.5,25.5,25.2,25.9,24.7
22,Michigan,1.0,511,499,1011,0.22,24.4,24.5,23.9,24.7,23.9
23,Minnesota,0.04,643,655,1298,0.99,21.3,20.2,21.4,21.7,21.4
24,Mississippi,0.03,630,606,1236,1.0,18.6,18.2,18.1,18.9,18.6
25,Missouri,0.04,633,629,1262,1.0,20.0,19.5,19.7,20.5,20.0
26,Montana,0.1,606,592,1198,1.0,20.0,18.7,19.9,20.7,20.0
27,Nebraska,0.03,629,623,1252,1.0,20.1,19.4,19.8,20.4,20.1
28,Nevada,0.23,574,566,1140,1.0,17.7,16.6,17.8,18.0,17.9
29,New Hampshire,0.96,535,528,1063,0.16,25.1,25.1,24.7,25.6,24.4
30,New Jersey,0.82,547,547,1094,0.31,23.7,23.8,23.6,24.0,23.0
31,New Mexico,0.16,552,540,1093,0.67,19.4,18.3,19.1,20.1,19.7
32,New York,0.79,534,534,1068,0.27,24.5,24.2,24.2,24.9,24.2
33,North Carolina,0.52,554,543,1098,1.0,19.1,18.0,19.3,19.5,19.2
34,North Dakota,0.02,640,643,1283,0.98,20.3,19.1,20.3,20.7,20.5
35,Oklahoma,0.08,541,521,1062,1.0,19.3,18.4,18.8,20.1,19.4
36,Ohio,0.18,552,547,1099,1.0,20.3,19.3,20.3,20.8,20.4
37,Oregon,0.48,564,553,1117,0.42,21.3,20.6,20.9,21.9,21.1
38,Pennsylvania,0.7,547,539,1086,0.2,23.5,23.3,23.2,24.0,23.1
39,Rhode Island,0.97,513,505,1018,0.15,24.2,24.4,23.6,25.0,23.5
40,South Carolina,0.55,547,523,1070,1.0,18.3,17.3,18.2,18.6,18.5
41,South Dakota,0.03,622,618,1240,0.77,21.9,20.8,21.6,22.4,22.2
42,Tennessee,0.06,624,607,1231,1.0,19.6,19.4,19.1,19.9,19.6
43,Texas,0.66,520,512,1032,0.41,20.6,19.6,20.6,21.1,20.8
44,Utah,0.04,480,530,1010,1.0,20.4,19.7,19.9,20.9,20.5
45,Vermont,0.64,565,554,1120,0.24,24.1,23.9,23.4,24.9,23.8
46,Virginia,0.68,567,550,1117,0.24,23.9,23.8,23.3,24.7,23.5
47,Washington,0.69,543,538,1081,0.24,22.2,21.4,22.2,22.7,22.0
48,West Virginia,0.28,513,486,999,0.65,20.3,19.8,19.4,21.3,20.4
49,Wisconsin,0.03,641,653,1294,1.0,20.5,19.8,20.3,20.6,20.8
50,Wyoming,0.03,633,625,1257,1.0,20.0,19.0,19.7,20.6,20.3
