id,mssubclass,mszoning,lotarea,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,roofstyle,exterior2nd,masvnrtype,masvnrarea,extercond,foundation,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,heatingqc,centralair,electrical,1stflrsf,grlivarea,bedroomabvgr,kitchenabvgr,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagearea,garagequal,garagecond,paveddrive,wooddecksf,fence,saletype,saleprice,houseage,yearsafterremod,totalfullbaths,totalhalfbaths,pool,porch
109,60,RL,13517,3,Lvl,CulDSac,1,Sawyer,0,1Fam,2Story,6,8,Gable,1,BrkFace,289.0,3,CBlock,3,1,6,533.0,1,0.0,192.0,5,1,1,725,1479,3,1,Typ,0,0,Attchd,2,475.0,3,3,Y,0,0,0,130500,34.25,5.25,2.0,1.0,0,1
544,60,RL,11492,3,Lvl,CulDSac,1,SawyerW,0,1Fam,2Story,7,5,Gable,2,BrkFace,132.0,3,PConc,3,1,6,637.0,1,0.0,276.0,5,1,1,913,2122,4,1,Typ,1,3,Attchd,2,559.0,3,3,Y,0,0,0,220000,13.333333333333258,12.333333333333258,3.0,1.0,0,1
153,20,RL,7922,4,Lvl,Inside,1,NAmes,0,1Fam,1Story,5,7,Gable,2,None,0.0,4,CBlock,3,1,6,731.0,1,0.0,326.0,3,1,1,1057,1057,3,1,Typ,0,0,Detchd,1,246.0,3,3,Y,0,0,0,109000,57.08333333333326,3.0833333333332575,2.0,0.0,0,1
318,60,RL,9802,4,Lvl,Inside,1,Timber,0,1Fam,2Story,5,5,Gable,2,None,0.0,3,PConc,3,1,1,0.0,1,0.0,384.0,4,1,1,744,1444,3,1,Typ,0,0,BuiltIn,3,400.0,3,3,Y,100,0,0,174000,4.3333333333332575,3.3333333333332575,2.0,1.0,0,0
255,50,RL,14235,3,Lvl,Inside,1,SawyerW,0,1Fam,1.5Fin,6,8,Gable,1,None,0.0,3,PConc,4,1,1,0.0,1,0.0,676.0,3,1,1,831,1445,3,1,Typ,0,0,Detchd,1,484.0,3,3,N,0,0,0,138500,110.25,17.25,2.0,0.0,0,1
138,20,RL,16492,3,Lvl,Corner,1,NAmes,1,1Fam,1Story,6,6,Gable,1,None,0.0,3,CBlock,3,1,5,247.0,3,713.0,557.0,5,1,1,1888,1888,2,1,Mod,1,4,Attchd,3,578.0,3,3,Y,0,0,0,190000,44.5,8.5,2.0,1.0,0,0
2827,180,RM,3675,4,Lvl,Inside,1,Edwards,0,TwnhsE,SFoyer,6,5,Gable,2,BrkFace,82.0,3,PConc,3,4,6,547.0,1,0.0,0.0,4,1,1,1072,1072,2,1,Typ,0,0,Basment,3,525.0,3,3,Y,0,0,1,140000,1.5,0.5,3.0,0.0,0,1
145,20,RL,12160,3,Lvl,Inside,1,NAmes,0,1Fam,1Story,5,5,Hip,1,BrkFace,180.0,3,CBlock,3,1,3,1000.0,1,0.0,188.0,2,1,1,1188,1188,3,1,Typ,0,0,Attchd,2,531.0,3,3,Y,0,3,0,142000,51.41666666666674,51.41666666666674,2.0,0.0,0,0
1942,20,RL,15783,4,Lvl,Inside,1,OldTown,0,1Fam,1Story,5,5,Gable,1,None,0.0,3,CBlock,3,1,3,292.0,1,0.0,632.0,3,1,1,924,924,2,1,Typ,0,0,Detchd,1,420.0,3,3,Y,0,3,0,112500,55.5,55.5,1.0,0.0,0,1
1956,60,RL,11606,3,HLS,Inside,3,NAmes,0,1Fam,2Story,5,5,Gable,1,BrkFace,192.0,3,PConc,3,3,3,650.0,1,0.0,390.0,3,1,1,1040,2080,5,1,Typ,2,3,Attchd,1,504.0,3,3,Y,335,0,0,135000,38.75,38.75,1.0,3.0,0,0
